"ID_sample","Altitude","Plot","Betula pendula","Betula pubescens","Sorbus aucuparia","Corylus avellana","Picea abies","Fraxinus excelsior","Alnus glutinosa","Alnus incana","Pinus sylvestris","Salix sp.","Fagus sylvatica","Rhamnus cathartica","Pinus sp.","Acer sp.","Quercus sp.","Abies alba","Aesculus hippocastanum","Carpinus betulus","Pinaceae sp.","Pinus nigra","Quercus rotundifolia","Sorbus domestica","Quercus faginea","Populus tremula","Larix decidua","Pinus cembra"
"KEL1A",,"A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEL1B",1750,"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEL1C",1788,"C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEL2A",,"A",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEL2B",1400,"B",0,0,0,0,0,0,0,0,0,0,95,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEL2C",1344,"C",0,0,0,0,10,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEL3A",,"A",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEL3B",1160,"B",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEL3C",1116,"C",0,0,0,0,10,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEL4A",,"A",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEL4B",850,"B",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEL4C",837,"C",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEL1A",1980,"A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEL1B",1970,"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEL1C",1999,"C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEL2A",1765,"A",0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEL2B",1750,"B",0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEL2C",1803,"C",0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEL3A",1483,"A",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEL3B",1460,"B",0,0,0,0,0,0,0,0,0,0,95,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"CEL3C",1504,"C",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEL4A",1160,"A",0,0,0,0,0,25,0,0,0,0,30,0,5,40,0,0,0,0,0,0,0,0,0,0,0,0
"CEL4B",1190,"B",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEL4C",1219,"C",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEL5A",820,"A",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEL5B",830,"B",0,0,0,0,0,5,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEL5C",816,"C",0,0,0,0,0,5,0,0,0,0,90,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"CEL6A",550,"A",0,0,0,0,0,0,0,0,0,0,70,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
"CEL6B",550,"B",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEL6C",590,"C",0,0,0,0,0,0,0,0,0,0,60,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0
"BEL1A",,"A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL1B",2030,"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL1C",2024,"C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL2A",,"A",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL2B",1730,"B",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL2C",1715,"C",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL3A",,"A",0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"BEL3B",,"B",0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
"BEL3C",1419,"C",0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0
"PEL1A",1852,"A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
